Unnamed: 0,Unnamed: 1,Mar 2010,Unnamed: 83,Jun 2010,Unnamed: 85,Sep 2010,Unnamed: 87,Dec 2010,Unnamed: 89,Mar 2011,Unnamed: 91,Jun 2011,Unnamed: 93,Sep 2011,Unnamed: 95,Dec 2011,Unnamed: 97,Mar 2012,Unnamed: 99,Jun 2012,Unnamed: 101,Sep 2012,Unnamed: 103,Dec 2012,Unnamed: 105,Mar 2013,Unnamed: 107,Jun 2013,Unnamed: 109,Sep 2013,Unnamed: 111,Dec 2013,Unnamed: 113,Mar 2014,Unnamed: 115,Jun 2014,Unnamed: 117,Sep 2014,Unnamed: 119,Dec 2014,Unnamed: 121,Mar 2015,Unnamed: 123,Jun 2015,Unnamed: 125,Sep 2015,Unnamed: 127,Dec 2015,Unnamed: 129,Mar 2016,Unnamed: 131,Jun 2016,Unnamed: 133,Sep 2016,Unnamed: 135,Dec 2016,Unnamed: 137,Mar 2017,Unnamed: 139,Jun 2017,Unnamed: 141,Sep 2017,Unnamed: 143,Dec 2017,Unnamed: 145,Mar 2018,Unnamed: 147,Jun 2018,Unnamed: 149,Sep 2018,Unnamed: 151,Dec 2018,Unnamed: 153,Mar 2019,Unnamed: 155,Jun 2019,Unnamed: 157,Sep 2019,Unnamed: 159,Dec 2019,Unnamed: 161,Mar 2023,Unnamed: 187
Other Regional Centres,Bairnsdale,442,$220.00,418,$220.00,410,$230.00,396,$240.00,401,$240.00,425,$245.00,440,$250.00,460,$250.00,466,$250.00,453,$253.00,457,$260.00,457,$260.00,479,$260.00,507,$260.00,533,$260.00,543,$260.00,545,$260.00,522,$260.00,490,$265.00,514,$270.00,500,$270.00,535,$270.00,567,$275.00,562,$275.00,578,$275.00,566,$280.00,553,$275.00,534,$280.00,534,$280.00,517,$280.00,518,$280.00,513,$280.00,511,$290.00,479,$290.00,447,$290.00,432,$293.00,405,$300.00,427,$300.00,417,$300.00,428,$300.00,334,$400.00
,Benalla,403,$200.00,421,$200.00,429,$200.00,421,$200.00,432,$200.00,444,$200.00,455,$205.00,462,$210.00,468,$210.00,439,$215.00,446,$213.00,443,$210.00,420,$210.00,437,$210.00,432,$215.00,440,$220.00,444,$220.00,420,$230.00,411,$230.00,417,$225.00,406,$230.00,425,$230.00,435,$230.00,420,$230.00,445,$230.00,426,$230.00,432,$230.00,427,$230.00,413,$240.00,428,$240.00,402,$240.00,398,$250.00,384,$250.00,386,$250.00,400,$250.00,387,$260.00,378,$270.00,363,$280.00,341,$300.00,359,$300.00,365,$395.00
,Castlemaine,288,$225.00,262,$235.00,270,$240.00,295,$250.00,283,$260.00,281,$260.00,279,$270.00,267,$280.00,277,$280.00,292,$280.00,288,$280.00,275,$285.00,241,$295.00,236,$300.00,242,$300.00,261,$300.00,280,$300.00,294,$307.00,291,$300.00,298,$300.00,308,$300.00,304,$300.00,310,$300.00,299,$305.00,286,$300.00,285,$310.00,280,$310.00,279,$310.00,278,$320.00,279,$310.00,272,$318.00,276,$320.00,271,$320.00,250,$325.00,248,$330.00,236,$330.00,224,$330.00,221,$330.00,225,$330.00,223,$340.00,163,$430.00
,Echuca,539,$220.00,551,$225.00,538,$230.00,544,$230.00,545,$230.00,536,$230.00,553,$230.00,513,$240.00,492,$240.00,494,$250.00,454,$250.00,492,$250.00,483,$250.00,451,$250.00,455,$255.00,456,$260.00,452,$260.00,452,$268.00,455,$270.00,449,$270.00,476,$280.00,478,$280.00,492,$280.00,488,$280.00,472,$280.00,467,$285.00,456,$290.00,448,$300.00,448,$300.00,462,$298.00,472,$295.00,470,$290.00,481,$300.00,484,$300.00,461,$310.00,450,$300.00,452,$310.00,446,$315.00,457,$320.00,473,$325.00,351,$410.00
,Hamilton,348,$200.00,340,$200.00,349,$210.00,346,$210.00,324,$200.00,326,$213.00,295,$220.00,297,$230.00,295,$230.00,302,$230.00,323,$230.00,319,$230.00,341,$230.00,329,$230.00,323,$230.00,336,$230.00,325,$231.00,330,$230.00,329,$231.00,327,$240.00,340,$230.00,340,$230.00,358,$230.00,366,$230.00,366,$230.00,386,$230.00,372,$230.00,384,$230.00,383,$230.00,376,$230.00,363,$230.00,345,$235.00,343,$240.00,343,$240.00,343,$240.00,329,$240.00,326,$250.00,288,$260.00,288,$263.00,286,$268.00,216,$330.00
,Horsham,675,$185.00,668,$190.00,698,$190.00,693,$195.00,723,$195.00,716,$200.00,699,$200.00,684,$210.00,654,$220.00,652,$215.00,652,$220.00,662,$225.00,648,$230.00,630,$230.00,643,$235.00,646,$235.00,639,$240.00,650,$240.00,664,$250.00,663,$250.00,657,$250.00,649,$250.00,655,$250.00,652,$250.00,694,$250.00,711,$250.00,740,$250.00,733,$250.00,742,$255.00,743,$260.00,702,$260.00,699,$260.00,693,$260.00,679,$260.00,697,$270.00,729,$265.00,697,$270.00,702,$273.00,678,$275.00,676,$275.00,580,$350.00
,Mildura,"1,486",$200.00,"1,462",$200.00,"1,488",$205.00,"1,515",$205.00,"1,487",$210.00,"1,470",$210.00,"1,468",$220.00,"1,429",$220.00,"1,486",$220.00,"1,530",$228.00,"1,525",$230.00,"1,508",$230.00,"1,454",$235.00,"1,458",$240.00,"1,440",$240.00,"1,442",$240.00,"1,441",$245.00,"1,429",$250.00,"1,462",$250.00,"1,516",$250.00,"1,513",$260.00,"1,510",$260.00,"1,511",$260.00,"1,461",$265.00,"1,466",$270.00,"1,446",$270.00,"1,453",$270.00,"1,485",$275.00,"1,496",$280.00,"1,505",$280.00,"1,478",$280.00,"1,463",$280.00,"1,474",$280.00,"1,451",$280.00,"1,386",$283.00,"1,344",$290.00,"1,289",$295.00,"1,266",$300.00,"1,338",$300.00,"1,376",$310.00,"1,170",$360.00
,Moe-Newborough,514,$150.00,500,$160.00,511,$160.00,532,$165.00,534,$170.00,554,$180.00,598,$180.00,597,$180.00,587,$180.00,586,$175.00,573,$180.00,565,$180.00,577,$190.00,576,$190.00,557,$190.00,583,$190.00,588,$190.00,565,$190.00,560,$195.00,534,$195.00,538,$200.00,565,$210.00,575,$200.00,594,$200.00,600,$200.00,613,$200.00,638,$200.00,628,$205.00,616,$210.00,590,$205.00,574,$210.00,578,$210.00,576,$208.00,571,$210.00,548,$210.00,535,$215.00,521,$220.00,507,$225.00,507,$230.00,526,$230.00,413,$320.00
,Morwell,656,$155.00,654,$160.00,662,$160.00,662,$165.00,620,$165.00,635,$170.00,652,$172.00,638,$175.00,686,$175.00,693,$175.00,674,$180.00,686,$180.00,686,$180.00,653,$185.00,671,$185.00,685,$188.00,668,$185.00,689,$185.00,677,$190.00,657,$190.00,647,$195.00,653,$195.00,635,$195.00,649,$200.00,654,$200.00,669,$200.00,680,$200.00,673,$200.00,696,$200.00,671,$200.00,668,$200.00,674,$206.00,650,$210.00,639,$210.00,659,$210.00,615,$210.00,607,$215.00,576,$220.00,557,$225.00,581,$230.00,533,$320.00
,Ocean Grove-Barwon Heads,497,$300.00,485,$300.00,477,$300.00,483,$310.00,516,$320.00,519,$330.00,508,$335.00,505,$350.00,498,$350.00,485,$350.00,492,$350.00,500,$350.00,492,$350.00,503,$350.00,503,$350.00,500,$350.00,484,$350.00,488,$350.00,477,$350.00,451,$350.00,479,$350.00,480,$350.00,507,$350.00,523,$360.00,514,$360.00,524,$360.00,531,$370.00,521,$370.00,521,$380.00,512,$380.00,484,$380.00,469,$390.00,446,$395.00,473,$400.00,473,$400.00,479,$400.00,491,$415.00,453,$420.00,466,$425.00,486,$430.00,467,$550.00
,Portland,408,$200.00,413,$200.00,439,$200.00,456,$203.00,455,$210.00,445,$210.00,448,$210.00,460,$210.00,419,$220.00,414,$225.00,380,$230.00,347,$230.00,391,$230.00,422,$230.00,443,$230.00,461,$230.00,447,$230.00,444,$230.00,433,$230.00,441,$230.00,438,$230.00,431,$230.00,431,$230.00,408,$230.00,396,$230.00,382,$230.00,393,$230.00,410,$230.00,398,$230.00,389,$230.00,362,$240.00,338,$240.00,311,$240.00,311,$250.00,286,$250.00,287,$260.00,325,$260.00,319,$265.00,344,$270.00,338,$280.00,307,$380.00
,Sale-Maffra,791,$220.00,781,$220.00,816,$220.00,822,$220.00,842,$225.00,841,$230.00,866,$230.00,850,$235.00,849,$240.00,874,$240.00,877,$240.00,929,$240.00,941,$245.00,970,$245.00,922,$250.00,901,$250.00,918,$250.00,902,$255.00,948,$260.00,939,$260.00,943,$265.00,974,$270.00,984,$280.00,971,$280.00,951,$280.00,928,$280.00,954,$270.00,"1,007",$275.00,"1,091",$270.00,"1,107",$270.00,"1,073",$270.00,"1,063",$265.00,"1,049",$270.00,"1,062",$270.00,"1,070",$265.00,"1,065",$270.00,995,$275.00,963,$280.00,939,$285.00,920,$290.00,788,$400.00
,Seymour,178,$170.00,179,$180.00,193,$180.00,181,$185.00,181,$190.00,173,$200.00,167,$210.00,168,$213.00,181,$220.00,184,$218.00,189,$208.00,194,$200.00,196,$200.00,202,$211.00,187,$220.00,180,$220.00,187,$220.00,176,$220.00,189,$220.00,195,$240.00,193,$245.00,197,$250.00,180,$243.00,172,$248.00,169,$250.00,178,$250.00,186,$250.00,201,$250.00,202,$250.00,195,$250.00,192,$260.00,178,$265.00,177,$270.00,185,$275.00,181,$270.00,184,$278.00,177,$280.00,166,$280.00,187,$290.00,189,$290.00,143,$365.00
,Shepparton,"1,730",$210.00,"1,703",$220.00,"1,670",$225.00,"1,671",$225.00,"1,667",$230.00,"1,665",$230.00,"1,675",$230.00,"1,688",$240.00,"1,713",$240.00,"1,723",$245.00,"1,692",$245.00,"1,702",$250.00,"1,719",$250.00,"1,720",$250.00,"1,778",$250.00,"1,713",$250.00,"1,689",$250.00,"1,669",$250.00,"1,597",$260.00,"1,655",$260.00,"1,676",$260.00,"1,704",$260.00,"1,749",$260.00,"1,739",$260.00,"1,717",$260.00,"1,667",$260.00,"1,632",$265.00,"1,590",$270.00,"1,644",$270.00,"1,692",$270.00,"1,723",$270.00,"1,772",$270.00,"1,733",$275.00,"1,691",$275.00,"1,654",$280.00,"1,568",$280.00,"1,529",$280.00,"1,543",$285.00,"1,534",$285.00,"1,588",$290.00,"1,310",$380.00
,Swan Hill,414,$200.00,432,$200.00,441,$200.00,471,$205.00,458,$210.00,476,$210.00,486,$210.00,482,$210.00,489,$210.00,475,$215.00,481,$215.00,470,$215.00,461,$220.00,447,$220.00,430,$220.00,422,$220.00,428,$220.00,425,$220.00,411,$225.00,422,$225.00,405,$225.00,428,$228.00,430,$230.00,421,$230.00,421,$230.00,413,$240.00,405,$240.00,400,$240.00,404,$245.00,400,$245.00,420,$240.00,417,$245.00,405,$245.00,389,$250.00,378,$250.00,371,$250.00,374,$260.00,373,$260.00,360,$260.00,377,$260.00,299,$320.00
,Torquay,621,$350.00,637,$350.00,607,$360.00,598,$360.00,616,$380.00,621,$385.00,640,$385.00,636,$395.00,651,$390.00,660,$390.00,669,$390.00,711,$390.00,663,$390.00,679,$390.00,690,$400.00,646,$400.00,681,$400.00,660,$400.00,660,$400.00,675,$410.00,675,$415.00,667,$420.00,653,$425.00,652,$430.00,636,$430.00,653,$450.00,621,$450.00,613,$450.00,633,$450.00,636,$460.00,676,$460.00,663,$470.00,630,$480.00,604,$480.00,564,$495.00,563,$495.00,583,$500.00,613,$500.00,672,$500.00,704,$500.00,547,$620.00
,Traralgon,"1,047",$230.00,"1,040",$230.00,"1,043",$230.00,"1,046",$235.00,"1,042",$242.00,"1,069",$250.00,"1,077",$250.00,"1,069",$250.00,"1,061",$250.00,"1,063",$250.00,"1,083",$250.00,"1,064",$250.00,"1,072",$255.00,"1,096",$250.00,"1,077",$260.00,"1,095",$260.00,"1,122",$260.00,"1,080",$260.00,"1,082",$265.00,"1,069",$270.00,"1,054",$270.00,"1,068",$270.00,"1,094",$270.00,"1,104",$270.00,"1,119",$270.00,"1,127",$270.00,"1,122",$270.00,"1,118",$270.00,"1,129",$270.00,"1,132",$275.00,"1,132",$280.00,"1,130",$280.00,"1,125",$280.00,"1,129",$275.00,"1,088",$280.00,"1,074",$280.00,"1,007",$280.00,967,$285.00,940,$290.00,908,$295.00,903,$385.00
,Wanagaratta,601,$200.00,596,$205.00,577,$210.00,588,$210.00,620,$210.00,616,$215.00,634,$220.00,626,$220.00,628,$220.00,652,$220.00,655,$220.00,648,$225.00,615,$230.00,613,$230.00,610,$240.00,631,$240.00,665,$240.00,668,$250.00,674,$250.00,685,$250.00,673,$250.00,698,$250.00,726,$250.00,747,$250.00,761,$260.00,740,$260.00,734,$260.00,719,$260.00,717,$260.00,704,$265.00,695,$270.00,672,$270.00,645,$270.00,638,$270.00,626,$277.00,609,$280.00,621,$280.00,636,$290.00,622,$290.00,654,$290.00,518,$380.00
,Warragul,363,$230.00,367,$230.00,361,$240.00,363,$240.00,386,$250.00,387,$250.00,408,$250.00,407,$250.00,421,$259.00,460,$260.00,454,$260.00,465,$260.00,466,$260.00,455,$270.00,482,$270.00,495,$270.00,490,$270.00,474,$270.00,468,$271.00,487,$280.00,495,$280.00,506,$280.00,507,$280.00,499,$280.00,502,$290.00,505,$290.00,490,$295.00,479,$300.00,488,$300.00,522,$300.00,548,$310.00,528,$310.00,512,$320.00,466,$320.00,453,$325.00,465,$330.00,472,$340.00,487,$350.00,502,$350.00,516,$348.00,497,$440.00
,Warrnambool,"1,151",$250.00,"1,122",$260.00,"1,086",$270.00,"1,173",$270.00,"1,210",$280.00,"1,244",$280.00,"1,302",$280.00,"1,293",$285.00,"1,346",$285.00,"1,417",$285.00,"1,454",$280.00,"1,485",$280.00,"1,491",$280.00,"1,485",$280.00,"1,469",$280.00,"1,494",$280.00,"1,540",$280.00,"1,490",$280.00,"1,502",$280.00,"1,498",$280.00,"1,407",$280.00,"1,395",$280.00,"1,406",$290.00,"1,362",$290.00,"1,409",$290.00,"1,422",$290.00,"1,401",$285.00,"1,406",$290.00,"1,390",$290.00,"1,349",$290.00,"1,296",$290.00,"1,249",$290.00,"1,215",$300.00,"1,226",$300.00,"1,205",$300.00,"1,163",$300.00,"1,102",$310.00,"1,087",$320.00,"1,050",$330.00,"1,037",$330.00,867,$420.00
,Wodonga,"1,328",$240.00,"1,340",$240.00,"1,355",$240.00,"1,391",$245.00,"1,425",$250.00,"1,434",$250.00,"1,462",$250.00,"1,497",$250.00,"1,532",$260.00,"1,544",$260.00,"1,576",$262.00,"1,580",$265.00,"1,617",$270.00,"1,594",$270.00,"1,555",$270.00,"1,564",$270.00,"1,511",$275.00,"1,531",$280.00,"1,583",$280.00,"1,623",$285.00,"1,604",$285.00,"1,592",$285.00,"1,537",$290.00,"1,515",$290.00,"1,560",$290.00,"1,597",$290.00,"1,629",$290.00,"1,582",$290.00,"1,541",$295.00,"1,512",$300.00,"1,497",$300.00,"1,478",$300.00,"1,479",$300.00,"1,446",$300.00,"1,438",$300.00,"1,456",$310.00,"1,414",$310.00,"1,403",$320.00,"1,378",$320.00,"1,378",$325.00,"1,173",$410.00
,Group Total,"14,480",$220.00,"14,371",$220.00,"14,420",$220.00,"14,647",$225.00,"14,767",$230.00,"14,877",$230.00,"15,112",$235.00,"15,028",$240.00,"15,199",$240.00,"15,392",$250.00,"15,394",$250.00,"15,502",$250.00,"15,453",$250.00,"15,463",$250.00,"15,442",$250.00,"15,494",$250.00,"15,544",$255.00,"15,358",$260.00,"15,363",$260.00,"15,515",$260.00,"15,427",$265.00,"15,599",$265.00,"15,742",$270.00,"15,604",$270.00,"15,716",$270.00,"15,705",$270.00,"15,702",$270.00,"15,637",$270.00,"15,764",$275.00,"15,721",$275.00,"15,547",$280.00,"15,373",$280.00,"15,110",$280.00,"14,902",$280.00,"14,605",$280.00,"14,341",$290.00,"13,989",$290.00,"13,806",$300.00,"13,802",$300.00,"14,023",$300.00,"11,944",$390.00