0,1,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,186,187
Outer Western Melbourne,Altona,"2,873",$320.00,"3,027",$320.00,"3,155",$320.00,"3,267",$325.00,"3,358",$330.00,"3,470",$330.00,"3,783",$330.00,"3,952",$330.00,"4,217",$330.00,"4,305",$330.00,"4,357",$330.00,"4,341",$330.00,"4,269",$337.00,"4,239",$340.00,"4,238",$340.00,"4,221",$340.00,"4,211",$350.00,"4,251",$350.00,"4,100",$350.00,"4,132",$350.00,"4,172",$350.00,"4,197",$355.00,"4,338",$360.00,"4,443",$360.00,"4,473",$370.00,"4,510",$370.00,"4,587",$370.00,"4,718",$375.00,"4,856",$380.00,"5,032",$380.00,"5,060",$390.00,"4,938",$390.00,"4,866",$390.00,"4,884",$400.00,"4,936",$400.00,"4,976",$400.00,"5,142",$400.00,"5,155",$400.00,"5,225",$400.00,"5,273",$400.00,"4,854",$430.00
,Footscray,935,$290.00,"1,004",$300.00,"1,031",$300.00,"1,078",$300.00,"1,066",$300.00,"1,075",$300.00,"1,086",$310.00,"1,181",$320.00,"1,239",$325.00,"1,247",$320.00,"1,269",$320.00,"1,215",$320.00,"1,214",$320.00,"1,291",$320.00,"1,331",$325.00,"1,335",$330.00,"1,328",$330.00,"1,302",$330.00,"1,305",$330.00,"1,433",$330.00,"1,461",$330.00,"1,499",$330.00,"1,482",$330.00,"1,386",$330.00,"1,375",$340.00,"1,309",$345.00,"1,386",$350.00,"1,380",$350.00,"1,467",$355.00,"1,435",$360.00,"1,363",$360.00,"1,369",$370.00,"1,396",$365.00,"1,470",$370.00,"1,491",$375.00,"1,465",$375.00,"1,361",$380.00,"1,340",$380.00,"1,317",$380.00,"1,489",$390.00,"2,192",$400.00
,Keilor East-Avondale Heights,941,$330.00,937,$330.00,975,$340.00,975,$340.00,996,$340.00,"1,027",$350.00,"1,039",$350.00,"1,029",$350.00,989,$350.00,"1,017",$350.00,"1,057",$350.00,"1,082",$350.00,"1,181",$360.00,"1,239",$360.00,"1,268",$365.00,"1,292",$370.00,"1,277",$370.00,"1,245",$370.00,"1,320",$370.00,"1,395",$370.00,"1,430",$370.00,"1,447",$370.00,"1,369",$375.00,"1,371",$380.00,"1,445",$380.00,"1,461",$385.00,"1,460",$390.00,"1,438",$390.00,"1,448",$393.00,"1,450",$395.00,"1,517",$400.00,"1,515",$400.00,"1,446",$405.00,"1,442",$410.00,"1,411",$420.00,"1,459",$420.00,"1,494",$420.00,"1,506",$420.00,"1,555",$420.00,"1,574",$420.00,"1,489",$440.00
,Melton,"1,497",$250.00,"1,494",$250.00,"1,574",$250.00,"1,703",$260.00,"1,817",$260.00,"1,955",$265.00,"2,085",$270.00,"2,105",$270.00,"2,149",$270.00,"2,143",$270.00,"2,171",$270.00,"2,149",$270.00,"2,103",$270.00,"2,122",$270.00,"2,001",$270.00,"1,989",$270.00,"1,920",$270.00,"1,867",$275.00,"1,884",$280.00,"1,879",$280.00,"1,887",$280.00,"1,863",$280.00,"1,880",$285.00,"1,884",$285.00,"1,900",$290.00,"1,931",$295.00,"1,932",$300.00,"1,998",$300.00,"2,072",$310.00,"2,155",$310.00,"2,259",$320.00,"2,320",$320.00,"2,339",$320.00,"2,347",$330.00,"2,365",$330.00,"2,359",$335.00,"2,385",$340.00,"2,437",$340.00,"2,561",$340.00,"2,665",$340.00,"2,935",$370.00
,Newport-Spotswood,640,$350.00,647,$350.00,649,$350.00,682,$360.00,702,$360.00,723,$360.00,722,$370.00,693,$380.00,703,$386.00,705,$390.00,742,$390.00,738,$390.00,731,$390.00,750,$390.00,720,$395.00,729,$400.00,744,$400.00,765,$410.00,757,$410.00,768,$420.00,771,$426.00,740,$430.00,757,$440.00,767,$440.00,766,$440.00,784,$450.00,806,$450.00,826,$450.00,851,$450.00,822,$460.00,798,$465.00,803,$470.00,783,$470.00,811,$475.00,825,$470.00,815,$480.00,839,$480.00,838,$480.00,825,$495.00,835,$495.00,803,$520.00
,St Albans-Deer Park,"1,793",$275.00,"1,811",$280.00,"1,870",$280.00,"1,903",$280.00,"1,920",$285.00,"1,939",$285.00,"1,956",$290.00,"1,950",$290.00,"1,970",$290.00,"2,045",$290.00,"2,044",$290.00,"2,067",$290.00,"2,179",$290.00,"2,199",$290.00,"2,183",$295.00,"2,157",$300.00,"2,046",$300.00,"1,968",$300.00,"1,995",$300.00,"2,002",$310.00,"2,013",$310.00,"2,033",$310.00,"2,007",$310.00,"2,055",$310.00,"2,044",$320.00,"2,039",$320.00,"2,038",$320.00,"1,987",$320.00,"2,052",$330.00,"2,110",$330.00,"2,133",$335.00,"2,140",$340.00,"2,140",$345.00,"2,045",$350.00,"2,001",$350.00,"1,932",$350.00,"1,853",$350.00,"1,859",$350.00,"1,894",$355.00,"1,985",$360.00,"1,952",$370.00
,Sunshine,"1,086",$270.00,"1,208",$270.00,"1,288",$280.00,"1,307",$280.00,"1,358",$280.00,"1,359",$280.00,"1,378",$280.00,"1,424",$280.00,"1,439",$280.00,"1,441",$284.00,"1,453",$290.00,"1,492",$290.00,"1,499",$290.00,"1,564",$290.00,"1,590",$290.00,"1,524",$296.00,"1,535",$300.00,"1,461",$300.00,"1,443",$300.00,"1,470",$300.00,"1,466",$310.00,"1,526",$310.00,"1,542",$310.00,"1,557",$310.00,"1,552",$310.00,"1,540",$320.00,"1,512",$320.00,"1,485",$320.00,"1,502",$330.00,"1,493",$330.00,"1,518",$335.00,"1,539",$340.00,"1,532",$340.00,"1,523",$340.00,"1,498",$350.00,"1,509",$350.00,"1,517",$350.00,"1,532",$350.00,"1,569",$360.00,"1,551",$360.00,"1,536",$370.00
,Sydenham,"1,924",$310.00,"1,926",$320.00,"1,940",$320.00,"1,971",$320.00,"1,949",$330.00,"1,992",$330.00,"2,078",$330.00,"2,083",$330.00,"1,994",$330.00,"1,946",$330.00,"1,930",$330.00,"2,013",$330.00,"2,166",$335.00,"2,211",$340.00,"2,214",$340.00,"2,183",$345.00,"2,235",$350.00,"2,268",$350.00,"2,267",$350.00,"2,282",$350.00,"2,268",$355.00,"2,260",$360.00,"2,260",$360.00,"2,221",$360.00,"2,216",$360.00,"2,202",$365.00,"2,222",$370.00,"2,222",$370.00,"2,196",$375.00,"2,186",$380.00,"2,164",$380.00,"2,161",$390.00,"2,164",$390.00,"2,235",$390.00,"2,274",$400.00,"2,336",$400.00,"2,367",$400.00,"2,344",$400.00,"2,385",$400.00,"2,427",$400.00,"3,260",$420.00
,Werribee-Hoppers Crossing,"4,238",$275.00,"4,346",$275.00,"4,472",$280.00,"4,498",$280.00,"4,635",$280.00,"4,731",$285.00,"4,835",$290.00,"4,965",$290.00,"5,526",$290.00,"5,633",$290.00,"5,616",$290.00,"5,562",$290.00,"5,063",$290.00,"4,989",$290.00,"4,903",$290.00,"4,822",$290.00,"4,679",$295.00,"4,575",$300.00,"4,571",$300.00,"4,651",$300.00,"4,782",$305.00,"4,848",$310.00,"4,878",$310.00,"4,879",$315.00,"4,813",$320.00,"4,842",$320.00,"4,929",$330.00,"5,041",$330.00,"5,252",$330.00,"5,373",$340.00,"5,533",$345.00,"5,744",$350.00,"6,022",$355.00,"6,342",$360.00,"6,476",$360.00,"6,598",$365.00,"6,706",$370.00,"6,878",$370.00,"7,302",$370.00,"7,571",$370.00,"8,854",$400.00
,West Footscray,892,$300.00,932,$300.00,995,$300.00,"1,008",$300.00,"1,083",$305.00,"1,116",$310.00,"1,177",$310.00,"1,205",$310.00,"1,223",$320.00,"1,226",$320.00,"1,205",$320.00,"1,239",$320.00,"1,300",$320.00,"1,351",$320.00,"1,400",$320.00,"1,372",$320.00,"1,359",$320.00,"1,353",$330.00,"1,348",$330.00,"1,388",$330.00,"1,414",$330.00,"1,402",$330.00,"1,439",$340.00,"1,483",$340.00,"1,458",$350.00,"1,508",$350.00,"1,502",$360.00,"1,513",$360.00,"1,488",$360.00,"1,469",$360.00,"1,474",$370.00,"1,403",$375.00,"1,447",$380.00,"1,424",$380.00,"1,362",$380.00,"1,352",$383.00,"1,349",$390.00,"1,371",$390.00,"1,424",$400.00,"1,442",$400.00,"1,545",$420.00
,Williamstown,510,$387.00,509,$380.00,493,$380.00,497,$390.00,493,$400.00,489,$420.00,498,$430.00,493,$450.00,498,$430.00,498,$430.00,519,$425.00,520,$440.00,546,$450.00,548,$450.00,548,$450.00,547,$450.00,551,$450.00,557,$450.00,559,$450.00,580,$440.00,560,$450.00,559,$450.00,570,$450.00,569,$460.00,575,$462.00,584,$478.00,588,$480.00,584,$490.00,582,$490.00,549,$490.00,552,$485.00,559,$480.00,554,$490.00,581,$495.00,571,$510.00,578,$520.00,574,$520.00,587,$515.00,577,$505.00,559,$520.00,563,$550.00
,Yarraville-Seddon,"1,043",$340.00,"1,067",$350.00,"1,071",$350.00,"1,094",$350.00,"1,119",$350.00,"1,099",$350.00,"1,128",$350.00,"1,123",$350.00,"1,123",$360.00,"1,136",$368.00,"1,117",$370.00,"1,117",$375.00,"1,111",$375.00,"1,135",$380.00,"1,165",$375.00,"1,182",$385.00,"1,207",$395.00,"1,197",$395.00,"1,163",$400.00,"1,177",$400.00,"1,187",$400.00,"1,197",$410.00,"1,253",$415.00,"1,266",$420.00,"1,275",$420.00,"1,259",$420.00,"1,227",$430.00,"1,222",$430.00,"1,224",$448.00,"1,202",$450.00,"1,202",$450.00,"1,209",$455.00,"1,193",$460.00,"1,236",$460.00,"1,325",$465.00,"1,348",$470.00,"1,314",$480.00,"1,295",$480.00,"1,220",$490.00,"1,230",$490.00,"1,404",$500.00
,Group Total,"18,372",$290.00,"18,908",$290.00,"19,513",$295.00,"19,983",$300.00,"20,496",$300.00,"20,975",$300.00,"21,765",$300.00,"22,203",$300.00,"23,070",$300.00,"23,342",$300.00,"23,480",$300.00,"23,535",$300.00,"23,362",$310.00,"23,638",$310.00,"23,561",$310.00,"23,353",$315.00,"23,092",$320.00,"22,809",$320.00,"22,712",$320.00,"23,157",$325.00,"23,411",$330.00,"23,571",$330.00,"23,775",$330.00,"23,881",$340.00,"23,892",$340.00,"23,969",$345.00,"24,189",$350.00,"24,414",$350.00,"24,990",$350.00,"25,276",$360.00,"25,573",$360.00,"25,700",$365.00,"25,882",$370.00,"26,340",$370.00,"26,535",$380.00,"26,727",$380.00,"26,901",$380.00,"27,142",$380.00,"27,854",$380.00,"28,601",$380.00,"31,387",$400.00